"Transport","South Africa","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Africa (6)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Africa (6)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Asia (6)","Exports of Services (Euro Million)",4,4,4,4,4,4,0,4,4,4,4,4,3,0
"Transport","Asia (6)","Imports of Services (Euro Million)",104,93,91,66,58,42,0,33,32,28,35,77,65,37
"Transport","Oceania and Polar Regions (2)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Oceania and Polar Regions (2)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Central America (1)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Central America (1)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","EMU17","Exports of Services (Euro Million)",0,0,0,0,0,0,1047,1316,1440,0,0,0,0,0
"Transport","EMU17","Imports of Services (Euro Million)",0,0,0,0,0,0,280,283,293,0,0,0,0,0
"Transport","EMU16","Exports of Services (Euro Million)",0,0,0,0,731,791,0,0,0,0,0,0,0,0
"Transport","EMU16","Imports of Services (Euro Million)",0,0,0,0,377,358,0,0,0,0,0,0,0,0
"Transport","EMU12","Exports of Services (Euro Million)",368,411,449,0,0,0,0,0,0,0,0,0,0,0
"Transport","EMU12","Imports of Services (Euro Million)",261,292,318,0,0,0,0,0,0,0,0,0,0,0
"Transport","EMU13","Exports of Services (Euro Million)",0,0,0,454,0,0,0,0,0,0,0,0,0,0
"Transport","EMU13","Imports of Services (Euro Million)",0,0,0,353,0,0,0,0,0,0,0,0,0,0
"Transport","EMU18","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","EMU18","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","EMU19","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,1468,539,501,2670,2857
"Transport","EMU19","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,276,327,452,461,509
"Transport","EU28","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,4192,4360,4646,5536,5936
"Transport","EU28","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,787,865,1030,988,1013
"Transport","EU25","Exports of Services (Euro Million)",1429,1631,1887,0,0,0,0,0,0,0,0,0,0,0
"Transport","EU25","Imports of Services (Euro Million)",735,817,877,0,0,0,0,0,0,0,0,0,0,0
"Transport","EU27","Exports of Services (Euro Million)",0,0,0,2092,2634,2741,2808,3404,3946,0,0,0,0,0
"Transport","EU27","Imports of Services (Euro Million)",0,0,0,934,1000,949,741,775,815,0,0,0,0,0
"Transport","Europe (3)","Exports of Services (Euro Million)",1443,1644,1900,2104,2650,2755,2820,3417,3966,4214,4385,4669,5838,6423
"Transport","Europe (3)","Imports of Services (Euro Million)",800,888,976,1051,1092,1033,800,879,905,880,963,1130,1092,1124
"Transport","North America (1)","Exports of Services (Euro Million)",186,177,161,158,175,175,155,169,291,293,353,398,517,637
"Transport","North America (1)","Imports of Services (Euro Million)",389,357,408,348,353,348,0,341,304,315,294,462,641,659
"Transport","South America (1)","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","South America (1)","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Not geographically allocated","Exports of Services (Euro Million)",75,70,66,68,79,76,0,67,91,96,88,118,194,240
"Transport","Not geographically allocated","Imports of Services (Euro Million)",432,452,507,562,564,485,0,377,404,323,297,503,922,898
"Tourism and travel","All countries and international organisations","Exports of Services (Euro Million)",3409,3536,3863,4258,4426,4287,3555,3106,3010,3022,3370,3656,4320,4685
"Tourism and travel","All countries and international organisations","Imports of Services (Euro Million)",4188,4184,4898,5446,6300,7046,5602,5358,4817,4609,4669,4826,5134,5623
"Tourism and travel","All offshore centres","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","All offshore centres","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","International organisations","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","International organisations","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Australia","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Australia","Imports of Services (Euro Million)",0,0,44,46,43,43,46,52,52,52,52,52,52,52
"Tourism and travel","Belgium","Exports of Services (Euro Million)",0,52,54,54,48,45,30,21,23,33,43,48,39,49
"Tourism and travel","Belgium","Imports of Services (Euro Million)",0,38,37,31,38,54,31,37,25,26,32,43,45,73
"Tourism and travel","Bermuda","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Bermuda","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Brazil","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Brazil","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Canada","Exports of Services (Euro Million)",69,68,66,67,61,63,57,56,77,85,110,159,34,79
"Tourism and travel","Canada","Imports of Services (Euro Million)",51,0,0,0,0,0,0,116,79,78,84,87,91,99
"Tourism and travel","Switzerland","Exports of Services (Euro Million)",0,73,75,65,66,58,0,0,0,0,0,0,0,0
"Tourism and travel","Switzerland","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","China","Exports of Services (Euro Million)",0,94,124,136,136,136,118,106,40,40,40,40,40,40
"Tourism and travel","China","Imports of Services (Euro Million)",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Tourism and travel","Germany","Exports of Services (Euro Million)",161,172,257,254,244,276,251,235,243,227,286,334,123,154
"Tourism and travel","Germany","Imports of Services (Euro Million)",83,83,111,107,117,131,101,148,114,107,79,109,117,139
"Tourism and travel","Spain","Exports of Services (Euro Million)",0,90,108,115,146,124,302,201,235,181,209,203,770,904
