"Textile fibres, excluding wool tops, and their wastes (26)","Value of Exports (Euro Thousand)",13118,12636,14437,24379,21884,32759,43496,48731,63249,69632,82746,101630,70783,72953,82687,96445,122064,98110,90841,100055,103992,129132,152749,129513,140433,120879,122022,114800,115400,125400,117200,112300,110600,105700,119900,114900,99900,118500,133400,143900,141300,133100,144100,133500,129000
"Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Value of Imports (Euro Thousand)",11015,23583,16184,17915,18726,20617,23457,27049,28112,31792,42634,55422,53255,41165,38203,40757,44760,44805,44012,42790,54599,88882,73264,66026,89517,107674,112372,136500,135600,171600,163900,172800,215800,320100,282800,226800,140100,128200,192500,124300,113400,114200,135500,138000,169300
"Crude fertilisers and minerals, excluding coal, petroleum etc. (27)","Value of Exports (Euro Thousand)",4129,6565,8530,11271,13454,16221,14257,22383,31765,37729,68754,113079,126707,100048,95143,103166,48993,48206,48493,19808,15745,38854,17649,36695,43552,31616,65011,33100,56200,43100,52100,57300,66700,69900,51300,81300,80900,82600,147700,142700,134900,141100,132600,125300,130700
"Metalliferous ores and metal scrap (28)","Value of Imports (Euro Thousand)",1845,2981,1742,1368,3052,3394,4292,4288,6049,9984,35546,75929,92290,60881,65416,75566,93368,92536,94562,80374,117959,99420,108563,101706,99801,127355,125958,151000,150800,125900,101300,113100,127600,127100,154000,147900,113100,196400,179400,195700,187800,204200,241800,224500,243400
"Metalliferous ores and metal scrap (28)","Value of Exports (Euro Thousand)",29298,43023,37987,32482,47197,55434,98952,96174,65847,96048,111347,291812,226445,174331,193295,292151,405744,299174,284777,244044,259027,288865,297754,293944,345623,340671,372414,517800,501900,398600,420100,524000,608800,1014900,1012200,808700,530500,887500,1095700,1045300,1015700,1022500,990600,782700,1048000
"Crude animal and vegetable materials, n.e.s. (29)","Value of Imports (Euro Thousand)",4574,5842,4509,6942,8746,11096,15583,17141,26494,30290,32749,33086,38262,38457,45187,45317,48449,50470,53128,50282,53837,63360,70470,80247,76057,74407,82660,97900,103400,109100,103700,111700,122500,128400,146100,142300,132800,135300,138500,163200,159300,166900,189600,200500,211200
"Crude animal and vegetable materials, n.e.s. (29)","Value of Exports (Euro Thousand)",4129,6617,7263,7754,9118,10233,9914,19022,26974,33145,34819,39432,44064,55358,56875,68829,72051,66690,76832,91802,72375,79105,83168,91294,82025,108055,93453,96300,98400,86500,82800,89800,92000,75700,94200,101800,91100,93100,93900,106700,105900,109200,127400,124300,139400
"Mineral fuels, lubricants and related materials (3)","Value of Imports (Euro Thousand)",98424,287579,309443,397401,493691,477617,745053,1019859,1226920,1281879,1260874,1405242,1424680,930456,858996,721212,856193,1018684,957748,868755,906847,839678,850978,1045883,1139845,1008045,1294117,2299800,2218700,1932100,1969000,2813600,4020400,4719500,5728200,6594400,4445300,5601600,6945700,7159700,6886100,6477200,5104300,3775900,4679800
"Mineral fuels, lubricants and related materials (3)","Value of Exports (Euro Thousand)",8446,18861,24243,15622,21212,15446,21155,33931,40171,45731,100943,135658,157025,93168,98036,81959,87175,115069,113466,122657,148432,139544,153131,148051,187032,150718,176875,285500,296800,361800,201200,399900,616200,562200,686400,832200,594800,1027600,1353700,1646500,822700,846500,772900,691200,989500
"Coal, coke and briquettes (32)","Value of Imports (Euro Thousand)",11848,21092,19314,19361,34338,37349,60230,75137,109742,111649,119015,122627,181917,201107,189765,213355,212987,182469,185457,172557,174208,149321,144496,128497,150845,129894,97135,100100,149800,135000,122300,204800,172600,169900,158500,220100,199400,154400,231400,206300,219200,165500,180800,142500,168400
"Coal, coke and briquettes (32)","Value of Exports (Euro Thousand)",4095,5066,6844,7220,9414,10240,10877,9236,12257,13675,15147,21062,22430,22402,25002,31477,31434,30019,36303,41013,52440,37076,50663,43425,37076,38854,50028,40900,53800,65200,60500,59300,60700,71300,63800,55900,52900,58300,65200,68200,76300,80700,98200,97800,94900
"Petroleum, petroleum products and related materials (33)","Value of Imports (Euro Thousand)",85024,263631,285311,368892,447195,428785,668843,916786,1082387,1131448,1097544,1240712,1199890,703651,649774,493085,627107,817697,746129,676770,712323,674739,688071,866342,889198,736321,1007664,1926200,1729500,1533200,1592800,2255100,3315200,3841800,4479300,4913200,3299000,4285100,5324100,5475000,5021600,4951100,3702900,2897800,3656500
"Petroleum, petroleum products and related materials (33)","Value of Exports (Euro Thousand)",4257,13683,17355,8402,11758,5065,9984,24215,26658,30450,83855,111847,131593,67515,69898,47281,52704,81088,73270,77708,92945,99294,99040,97897,145639,108563,124561,242000,239800,290700,135500,322400,525200,437000,594300,757100,533500,948600,1250500,1545000,721400,728300,642800,524800,754600
"Gas, natural and manufactured (34)","Value of Imports (Euro Thousand)",1552,2857,4817,9150,12158,11484,15980,27936,34790,38780,44315,41903,42875,25698,19456,14772,16100,18518,26163,19427,20316,15618,18157,50282,98151,139544,177255,266700,336100,244300,225000,306700,492900,651900,1039000,1378000,910500,1134700,1354000,1449900,1576100,1281800,1153700,719900,795300
"Gas, natural and manufactured (34)","Value of Exports (Euro Thousand)",94,112,43,0,41,141,295,480,1257,1606,1941,2748,3003,3252,3138,3200,3037,3962,3894,3809,3047,3174,3047,2920,3301,2666,2286,2400,3200,5700,2500,6600,13300,20600,8200,11700,7400,20700,38000,29700,18600,19300,5600,13300,13700
"Electric current (35)","Value of Imports (Euro Thousand)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,762,1651,2286,12063,6800,3300,19600,28900,47000,39700,55900,51400,83100,36400,27400,36200,28500,69200,78800,66900,15700,59600
"Electric current (35)","Value of Exports (Euro Thousand)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,3809,1016,635,0,200,0,200,2700,11600,17000,33300,20100,7500,1000,0,0,3600,6400,18200,26300,55300,126300
"Animal and vegetable oils, fats and waxes (4)","Value of Imports (Euro Thousand)",7964,14018,11952,16033,23829,22509,31657,31524,38368,39376,42739,69185,74621,52271,47750,55373,62288,50957,52528,52948,69709,85199,103356,104500,105262,123545,138148,122000,122800,115700,120800,116800,129500,162800,160500,208000,176900,180500,248200,250600,235200,217100,244500,244600,261200
"Animal and vegetable oils, fats and waxes (4)","Value of Exports (Euro Thousand)",4174,7824,7955,10332,13391,13533,13909,11698,8828,9623,11247,17803,20182,13208,13043,14613,16354,14248,15501,18030,22856,25649,29838,35552,36314,51170,28950,27300,23600,25600,31400,25300,18400,19500,27600,41200,20000,27000,54400,55600,51600,61700,57200,78300,92500
"Animal oils and fats (41)","Value of Imports (Euro Thousand)",1898,1980,1574,1529,4227,3037,3703,3140,4538,4087,3982,5154,4949,4953,4803,4370,4706,4170,3700,3936,5333,6095,8634,12063,7238,4698,10285,10100,13300,6600,3600,5000,5700,6600,6900,9500,8300,9900,13300,14200,12600,14400,15600,20400,18900
"Animal oils and fats (41)","Value of Exports (Euro Thousand)",3181,6411,6722,8634,10868,11732,10060,9444,6584,7372,9121,16039,18306,11605,11970,13172,13624,12711,13960,16761,21459,23617,27045,29331,28188,27172,21459,22000,17700,21500,23600,18900,15100,14700,22900,36400,16800,23200,46500,47200,42100,52300,49300,69200,80500
